var_id,features_name,description,choose
1,up_num_orders,up_features,1
2,up_first_order_orders_gap,up_features,1
3,up_last_order_orders_gap,up_features,1
4,up_order_rate,up_features,1
5,up_first_order_days_gap,up_features,1
6,up_last_order_days_gap,up_features,1
7,up_order_days_rate,up_features,1
8,up_avg_cart_position,up_features,1
9,up_sd_cart_position,up_features,1
10,up_avg_order_gap,up_features1,1
11,up_sd_order_gap,up_features1,1
12,up_max_order_gap,up_features1,1
13,up_min_order_gap,up_features1,0
14,up_avg_order_days_gap,up_features1,1
15,up_sd_order_days_gap,up_features1,1
16,up_max_order_days_gap,up_features1,1
17,up_min_order_days_gap,up_features1,0
18,up_recent_month_reorders,up_features2,1
19,up_recent_month_avg_order_gap,up_features2,1
20,up_recent_month_sd_order_gap,up_features2,0
21,up_recent_month_avg_order_days_gap,up_features2,1
22,up_recent_month_sd_order_days_gap,up_features2,1
23,up_recent_quarter_reorders,up_features3,1
24,up_recent_quarter_avg_order_gap,up_features3,0
25,up_recent_quarter_sd_order_gap,up_features3,0
26,up_recent_quarter_avg_order_days_gap,up_features3,1
27,up_recent_quarter_sd_order_days_gap,up_features3,1
28,u_avg_order_size,u_features1,1
29,u_std_order_size,u_features1,1
30,u_max_order_size,u_features1,1
31,u_min_order_size,u_features1,0
32,u_avg_reorder_size,u_features1,1
33,u_std_reorder_size,u_features1,1
34,u_max_reorder_size,u_features1,1
35,u_min_reorder_size,u_features1,0
36,u_total_counts,u_features2,1
37,u_prod_reordered_ratio,u_features2,1
38,u_avg_prod_order_times,u_features2,1
39,u_distinct_products,u_features2,1
40,u_last_order_reordered_ratio,u_features3,1
41,u_last_order_size,u_features3,1
42,u_2ndlast_order_reordered_ratio,u_features4,1
43,u_2ndlast_order_size,u_features4,1
44,ud_count,ud_features,1
45,ua_count,ua_features,1
46,ud_order_rate,other,1
47,ua_order_rate,other,1
48,u_organic_rate,u_features5,1
49,u_organic_count,other,1
50,prod_organic,prod_features,1
51,prod_orders,prod_features,1
52,prod_reorder_probability,prod_features,1
53,prod_reorder_times,prod_features,1
54,prod_reorder_ratio,prod_features,1
55,order_number,Current Order Features,1
56,order_dow,Current Order Features,1
57,order_hour_of_day,Current Order Features,1
58,days_since_prior_order,Current Order Features,1
59,cum_days_since_first_order,Current Order Features,1
60,up_last_purchase_equal_month,other,1
61,up_order_ratio,other,1
62,u_recent_month_orders,u_features6,1
63,u_recent_quarter_orders,u_features6,1
64,up_recent_month_order_rate,other,1
65,up_recent_quarter_order_rate,other,1
66,up_order_streak,up_features4,1
67,prod_distinct_user,prod_features1,1
68,prod_mean_add_to_cart_order,prod_features1,1
69,prod_median_add_to_cart_order,prod_features1,1
70,prod_mean_add_to_cart_order_inverted,prod_features1,1
71,prod_median_add_to_cart_order_inverted,prod_features1,1
72,prod_mean_add_to_cart_order_relative,prod_features1,1
73,prod_median_add_to_cart_order_relative,prod_features1,1
74,prod_mean_order_dow,prod_features1,1
75,prod_median_order_dow,prod_features1,1
76,prod_mean_order_hour,prod_features1,1
77,prod_median_order_hour,prod_features1,1
78,prod_mean_days_since_prior_order,prod_features1,1
79,prod_median_days_since_prior_order,prod_features1,1
80,u_mean_days_since_prior_order,u_features6,1
81,u_median_days_since_prior_order,u_features6,1
82,up_mean_add_to_cart_order_inverted,up_features5,1
83,up_median_add_to_cart_order_inverted,up_features5,1
84,up_mean_add_to_cart_order_relative,up_features5,1
85,up_median_add_to_cart_order_relative,up_features5,1
86,up_mean_order_dow,up_features5,1
87,up_median_order_dow,up_features5,1
88,up_mean_order_hour,up_features5,1
89,up_median_order_hour,up_features5,1
90,up_mean_days_since_prior_order,up_features5,1
91,up_median_days_since_prior_order,up_features5,1